130 ['heating.circuits.3.operating.programs.screedDrying', 'feature']
131 ['heating.circuits.0.sensors.temperature', 'feature']
132 ['heating.boiler', 'feature']
133 ['heating.burners', 'feature']
134 ['heating.circuits.1.operating.programs.forcedLastFromSchedule', 'feature']
135 ['heating.circuits.3.circulation.pump', 'feature']
136 ['heating.sensors', 'feature']
137 ['heating.circuits.0.operating.modes.active', 'feature']
138 ['heating.heat.production.total', 'feature']
139 ['heating.heat.production', 'feature']
140 ['heating.circuits.2.operating.modes.active', 'feature']
141 ['heating.gas.consumption.summary', 'feature']
142 ['heating.dhw.pumps', 'feature']
143 ['heating.valves.diverter', 'feature']
144 ['heating.circuits.0.operating.programs.comfort', 'feature']
145 ['heating.circuits.3.operating.programs.reduced', 'feature']
146 ['heating.circuits.0.heating', 'feature']
147 ['heating.circuits.1.operating.modes.dhw', 'feature']
148 ['heating.circuits.3.operating.modes', 'feature']
149 ['heating.circuits.2.operating.programs.active', 'feature']
150 ['heating.device', 'feature']
151 ['heating.circuits.1.operating.programs.screedDrying', 'feature']
152 ['heating.sensors.pressure', 'feature']
153 ['heating.circuits.1', 'feature']
154 ['heating.heat.production.summary', 'feature']
155 ['heating.circuits.0.operating.programs', 'feature']
156 ['heating.circuits.1.operating', 'feature']
157 ['heating.heat.production.dhw', 'feature']
158 ['heating.circuits.2.operating', 'feature']
159 ['heating.solar.sensors.temperature', 'feature']
160 ['heating.burner.demand.temperature', 'feature']
161 ['heating.circuits.1.operating.modes.active', 'feature']
162 ['heating.circuits.0.operating.programs.standby', 'feature']
163 ['heating.burner.demand', 'feature']
164 ['heating.dhw.sensors.temperature.outlet', 'feature']
165 ['heating.circuits.1.heating.curve', 'feature']
166 ['heating.configuration.dhwCylinderSize', 'feature']
167 ['heating.solar.sensors.temperature.collector', 'feature']
168 ['heating.solar.summary.power.production', 'feature']
169 ['heating.circuits.2.operating.modes', 'feature']
170 ['heating.power.consumption.dhw', 'feature']
171 ['device.timeseries', 'feature']
172 ['heating.dhw.schedule', 'feature']
173 ['heating.circuits.2.frostprotection', 'feature']
174 ['heating.circuits.3.operating.programs.active', 'feature']
175 ['heating.circuits.3.operating.programs.standby', 'feature']
176 ['heating.circuits.3.sensors.temperature', 'feature']
177 ['heating.solar', 'feature']
178 ['heating.circuits.3.frostprotection', 'feature']
179 ['heating', 'feature']
180 ['heating.circuits.0.operating.programs.forcedLastFromSchedule', 'feature']
181 ['heating.circuits.3.operating', 'feature']
182 ['heating.device.time', 'feature']
183 ['heating.circuits.1.operating.programs.active', 'feature']
184 ['heating.heat.production.heating', 'feature']
185 ['heating.circuits.2.operating.programs.forcedLastFromSchedule', 'feature']
186 ['heating.circuits.2.operating.programs', 'feature']
187 ['heating.gas.consumption.total', 'feature']
188 ['heating.gas.consumption.summary.heating', 'feature']
189 ['device.timeseries.monitoringIonization', 'feature']
190 ['heating.circuits.3.heating.curve', 'feature']
191 ['heating.solar.statistics', 'feature']
192 ['heating.circuits.0.operating.modes.dhw', 'feature']
193 ['heating.solar.power', 'feature']
194 ['device.serial', 'feature']
195 ['heating.circuits.3.sensors', 'feature']
196 ['heating.dhw.sensors.temperature.hotWaterStorage', 'feature']
197 ['heating.circuits.3.operating.programs', 'feature']
198 ['heating.flue.sensors.temperature.main', 'feature']
199 ['heating.circuits.2.sensors', 'feature']
200 ['heating.sensors.temperature', 'feature']
201 ['heating.configuration.centralHeatingCylinderSize', 'feature']
202 ['heating.gas', 'feature']
203 ['heating.dhw.pumps.circulation.schedule', 'feature']
204 ['heating.power', 'feature']
